student_id,study_hours,exam_score,teaching_method
1,11.5,79.2,A
2,9.6,70.0,C
3,11.9,77.3,B
4,14.6,90.5,B
5,9.3,67.0,B
6,9.3,69.7,B
7,14.7,81.8,A
8,12.3,75.3,C
9,8.6,77.3,A
10,11.6,65.5,A
11,8.6,69.3,A
12,8.6,60.7,B
13,10.7,72.8,B
14,4.3,58.2,A
15,4.8,57.8,B
16,8.3,59.6,A
17,7.0,60.3,B
18,10.9,76.2,A
19,7.3,61.2,B
20,5.8,61.4,B
21,14.4,81.4,C
22,9.3,64.7,A
23,10.2,81.3,A
24,5.7,60.3,A
25,8.4,53.0,C
26,10.3,69.9,C
27,6.5,56.3,A
28,11.1,80.6,B
29,8.2,58.6,C
30,9.1,69.8,B
31,8.2,70.1,B
32,15.6,91.0,A
33,10.0,63.9,A
34,6.8,56.8,C
35,12.5,73.0,C
36,6.3,58.7,B
37,10.6,80.7,A
38,4.1,54.4,A
39,6.0,49.7,C
40,10.6,74.4,C
41,12.2,85.3,C
42,10.5,74.7,C
43,9.7,64.4,B
44,9.1,64.9,A
45,5.6,63.0,A
46,7.8,58.0,C
47,8.6,71.1,B
48,13.2,83.4,A
49,11.0,68.5,A
50,4.7,56.8,B
51,11.0,56.7,A
52,8.8,61.4,A
53,8.0,65.6,B
54,11.8,72.3,B
55,13.1,90.4,B
56,12.8,71.2,A
57,7.5,58.2,C
58,9.1,67.9,A
59,11.0,80.2,A
60,12.9,69.6,C
61,8.6,74.5,B
62,9.4,66.4,C
63,6.7,58.1,B
64,6.4,64.5,B
65,12.4,78.3,A
66,14.1,82.2,B
67,9.8,69.7,A
68,13.0,77.1,A
69,11.1,71.8,C
70,8.1,70.5,B
71,11.1,79.2,C
72,14.6,80.7,B
73,9.9,78.3,C
74,14.7,77.3,B
75,2.1,48.7,B
76,12.5,83.3,B
77,10.3,72.2,A
78,9.1,62.2,C
79,10.3,69.8,A
80,4.0,49.6,A
81,9.3,68.1,B
82,11.1,77.5,A
83,14.4,83.1,C
84,8.4,59.9,C
85,7.6,65.2,C
86,8.5,70.0,B
87,12.7,82.3,A
88,11.0,74.1,C
89,8.4,64.1,B
90,11.5,69.8,C
91,10.3,72.6,C
92,12.9,79.8,C
93,7.9,63.6,A
94,9.0,70.6,B
95,8.8,70.9,C
96,5.6,53.9,A
97,10.9,75.4,A
98,10.8,74.3,B
99,10.0,67.0,C
100,9.3,76.4,B
101,5.8,64.4,B
102,8.7,70.3,A
103,9.0,76.4,B
104,7.6,60.9,C
105,9.5,72.0,A
106,11.2,75.1,B
107,15.7,86.6,C
108,10.5,68.9,C
109,10.8,75.8,B
110,9.8,70.3,C
111,4.2,51.6,B
112,9.9,80.2,A
113,10.2,63.5,C
114,17.4,84.1,C
115,9.4,72.1,C
116,10.9,74.7,C
117,9.9,75.8,B
118,6.5,65.6,B
119,13.4,78.2,C
120,12.3,75.3,B
